File,Function,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::TransferTo( StrPair* other ),21,15,14,1,4,0,2,13,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::Reset(),7,7,6,1,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"StrPair::SetStr( const char* str, int flags )",9,9,9,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"StrPair::ParseText( char* p, const char* endTag, int strFlags, int* curLineNumPtr )",21,18,16,4,2,0,1,5,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::ParseName( char* p ),16,14,11,6,2,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::CollapseWhitespace(),25,21,17,5,2,3,2,26,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,StrPair::GetStr(),97,83,64,15,3,2,11,63,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::SetBoolSerialization(const char* writeTrue, const char* writeFalse)",6,5,5,0,1,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ReadBOM( const char* p, bool* bom )",14,13,10,4,0,0,1,3,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ConvertUTF32ToUTF8( unsigned long input, char* output, int* length )",49,41,31,3,3,1,5,32,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::GetCharacterRef( const char* p, char* value, int* length )",92,77,62,18,11,0,4,14,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr( int v, char* buffer, int bufferSize )",2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr( unsigned v, char* buffer, int bufferSize )",2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr( bool v, char* buffer, int bufferSize )",2,2,2,0,0,0,0,0,
C:\Users\hmunoz\Documents\Visual Studio 2015\Projects\Thesis\GUI\tinyxml2.cpp,"XMLUtil::ToStr( float v, char* buffer, int bufferSize )",2,2,2,0,0,0,0,0,
